   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
 898: T8_CLOTH_LEVEL2@2                                                : Rare Baroque Cloth
 899: T4_CLOTH_LEVEL3@3                                                : Exceptional Fine Cloth
 900: T5_CLOTH_LEVEL3@3                                                : Exceptional Ornate Cloth
 901: T6_CLOTH_LEVEL3@3                                                : Exceptional Lavish Cloth
 902: T7_CLOTH_LEVEL3@3                                                : Exceptional Opulent Cloth
 903: T8_CLOTH_LEVEL3@3                                                : Exceptional Baroque Cloth
 904: T4_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Adept's Occult Orb
 905: T4_ARTEFACT_2H_BOW_HELL                                          : Adept's Demonic Arrowheads
 906: T4_ARTEFACT_2H_BOW_KEEPER                                        : Adept's Carved bone
 907: T4_ARTEFACT_2H_CLEAVER_HELL                                      : Adept's Demonic Blade
 908: T4_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Adept's Reinforced Morgana Pole
 909: T4_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Adept's Alluring Bolts
 910: T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Adept's Bloodforged Catalyst
 911: T5_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Expert's Bloodforged Catalyst
 912: T6_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Master's Bloodforged Catalyst
 913: T7_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Grandmaster's Bloodforged Catalyst
 914: T8_ARTEFACT_2H_CURSEDSTAFF_MORGANA                               : Elder's Bloodforged Catalyst
 915: T4_ARTEFACT_2H_DUALAXE_KEEPER                                    : Adept's Keeper Axeheads
 916: T4_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Adept's Hellish Bolts
 917: T4_ARTEFACT_2H_DUALHAMMER_HELL                                   : Adept's Hellish Hammer Heads
 918: T4_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Adept's Cursed Blades
 919: T4_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Adept's Ghastly Blades
 920: T4_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Adept's Possessed Catalyst
 921: T4_ARTEFACT_2H_FIRESTAFF_HELL                                    : Adept's Burning Orb
 922: T4_ARTEFACT_2H_HALBERD_MORGANA                                   : Adept's Morgana Halberd Head
 923: T4_ARTEFACT_2H_HAMMER_UNDEAD                                     : Adept's Ancient Hammer Head
 924: T4_ARTEFACT_2H_HARPOON_HELL                                      : Adept's Infernal Harpoon Tip
 925: T4_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Adept's Possessed Scroll
 926: T4_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Adept's Infernal Scroll
 927: T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Adept's Ghastly Scroll
 928: T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Adept's Cursed Frozen Crystal
 929: T4_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Adept's Icicle Orb
 930: T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Adept's Unholy Scroll
 931: T4_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Adept's Black Leather
 932: T4_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Adept's Ghastly Arrows
 933: T4_ARTEFACT_2H_MACE_MORGANA                                      : Adept's Imbued Mace Head
 934: T4_ARTEFACT_2H_NATURESTAFF_HELL                                  : Adept's Symbol of Blight
 935: T4_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Adept's Preserved Log
 936: T4_ARTEFACT_2H_RAM_KEEPER                                        : Adept's Engraved Log
 937: T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Adept's Lost Crossbow Mechanism
 938: T4_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Adept's Preserved Rocks
 939: T4_ARTEFACT_2H_SKULLORB_HELL                                     : Adept's Cursed Jawbone
 940: T4_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Adept's Cursed Barbs
 941: T4_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Adept's Hellish Sicklehead Pair
 942: T4_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Adept's Lost Arcane Crystal
 943: T4_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Adept's Lost Cursed Crystal
 944: T4_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Adept's Wildfire Orb
 945: T4_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Adept's Hoarfrost Orb
 946: T4_ARTEFACT_MAIN_MACE_HELL                                       : Adept's Infernal Mace Head
 947: T4_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Adept's Druidic Inscriptions
 948: T4_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Adept's Hardened Debole
 949: T4_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Adept's Runed Rock
 950: T4_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Adept's Bloodforged Blade
 951: T4_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Adept's Keeper Spearhead
 952: T5_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Expert's Occult Orb
 953: T5_ARTEFACT_2H_BOW_HELL                                          : Expert's Demonic Arrowheads
 954: T5_ARTEFACT_2H_BOW_KEEPER                                        : Expert's Carved bone
 955: T5_ARTEFACT_2H_CLEAVER_HELL                                      : Expert's Demonic Blade
 956: T5_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Expert's Reinforced Morgana Pole
 957: T5_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Expert's Alluring Bolts
 958: T5_ARTEFACT_2H_DUALAXE_KEEPER                                    : Expert's Keeper Axeheads
 959: T5_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Expert's Hellish Bolts
 960: T5_ARTEFACT_2H_DUALHAMMER_HELL                                   : Expert's Hellish Hammer Heads
 961: T5_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Expert's Cursed Blades
 962: T5_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Expert's Ghastly Blades
 963: T5_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Expert's Possessed Catalyst
 964: T5_ARTEFACT_2H_FIRESTAFF_HELL                                    : Expert's Burning Orb
 965: T5_ARTEFACT_2H_HALBERD_MORGANA                                   : Expert's Morgana Halberd Head
 966: T5_ARTEFACT_2H_HAMMER_UNDEAD                                     : Expert's Ancient Hammer Head
 967: T5_ARTEFACT_2H_HARPOON_HELL                                      : Expert's Infernal Harpoon Tip
 968: T5_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Expert's Possessed Scroll
 969: T5_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Expert's Infernal Scroll
 970: T5_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Expert's Ghastly Scroll
 971: T5_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Expert's Cursed Frozen Crystal
 972: T5_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Expert's Icicle Orb
 973: T5_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Expert's Unholy Scroll
 974: T5_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Expert's Black Leather
 975: T5_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Expert's Ghastly Arrows
 976: T5_ARTEFACT_2H_MACE_MORGANA                                      : Expert's Imbued Mace Head
 977: T5_ARTEFACT_2H_NATURESTAFF_HELL                                  : Expert's Symbol of Blight
 978: T5_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Expert's Preserved Log
 979: T5_ARTEFACT_2H_RAM_KEEPER                                        : Expert's Engraved Log
 980: T5_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Expert's Lost Crossbow Mechanism
 981: T5_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Expert's Preserved Rocks
 982: T4_ARTEFACT_2H_SCYTHE_HELL                                       : Adept's Hellish Sicklehead
 983: T5_ARTEFACT_2H_SCYTHE_HELL                                       : Expert's Hellish Sicklehead
 984: T6_ARTEFACT_2H_SCYTHE_HELL                                       : Master's Hellish Sicklehead
 985: T7_ARTEFACT_2H_SCYTHE_HELL                                       : Grandmaster's Hellish Sicklehead
 986: T8_ARTEFACT_2H_SCYTHE_HELL                                       : Elder's Hellish Sicklehead
 987: T5_ARTEFACT_2H_SKULLORB_HELL                                     : Expert's Cursed Jawbone
 988: T5_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Expert's Cursed Barbs
 989: T5_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Expert's Hellish Sicklehead Pair
 990: T5_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Expert's Lost Arcane Crystal
 991: T5_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Expert's Lost Cursed Crystal
 992: T5_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Expert's Wildfire Orb
 993: T5_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Expert's Hoarfrost Orb
 994: T5_ARTEFACT_MAIN_MACE_HELL                                       : Expert's Infernal Mace Head
 995: T5_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Expert's Druidic Inscriptions
 996: T5_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Expert's Hardened Debole
 997: T5_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Expert's Runed Rock
 998: T5_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Expert's Bloodforged Blade
 999: T5_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Expert's Keeper Spearhead
1000: T6_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Master's Occult Orb
1001: T6_ARTEFACT_2H_BOW_HELL                                          : Master's Demonic Arrowheads
1002: T6_ARTEFACT_2H_BOW_KEEPER                                        : Master's Carved bone
1003: T6_ARTEFACT_2H_CLEAVER_HELL                                      : Master's Demonic Blade
1004: T6_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Master's Reinforced Morgana Pole
1005: T6_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Master's Alluring Bolts
1006: T6_ARTEFACT_2H_DUALAXE_KEEPER                                    : Master's Keeper Axeheads
1007: T6_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Master's Hellish Bolts
1008: T6_ARTEFACT_2H_DUALHAMMER_HELL                                   : Master's Hellish Hammer Heads
1009: T6_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Master's Cursed Blades
1010: T6_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Master's Ghastly Blades
1011: T6_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Master's Possessed Catalyst
1012: T6_ARTEFACT_2H_FIRESTAFF_HELL                                    : Master's Burning Orb
1013: T6_ARTEFACT_2H_HALBERD_MORGANA                                   : Master's Morgana Halberd Head
1014: T6_ARTEFACT_2H_HAMMER_UNDEAD                                     : Master's Ancient Hammer Head
1015: T6_ARTEFACT_2H_HARPOON_HELL                                      : Master's Infernal Harpoon Tip
1016: T6_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Master's Possessed Scroll
1017: T6_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Master's Infernal Scroll
1018: T6_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Master's Ghastly Scroll
1019: T6_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Master's Cursed Frozen Crystal
1020: T6_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Master's Icicle Orb
1021: T6_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Master's Unholy Scroll
1022: T6_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Master's Black Leather
1023: T6_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Master's Ghastly Arrows
1024: T6_ARTEFACT_2H_MACE_MORGANA                                      : Master's Imbued Mace Head
1025: T6_ARTEFACT_2H_NATURESTAFF_HELL                                  : Master's Symbol of Blight
1026: T6_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Master's Preserved Log
1027: T6_ARTEFACT_2H_RAM_KEEPER                                        : Master's Engraved Log
1028: T6_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Master's Lost Crossbow Mechanism
1029: T6_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Master's Preserved Rocks
1030: T6_ARTEFACT_2H_SKULLORB_HELL                                     : Master's Cursed Jawbone
1031: T6_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Master's Cursed Barbs
1032: T6_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Master's Hellish Sicklehead Pair
1033: T6_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Master's Lost Arcane Crystal
1034: T6_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Master's Lost Cursed Crystal
1035: T6_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Master's Wildfire Orb
1036: T6_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Master's Hoarfrost Orb
1037: T6_ARTEFACT_MAIN_MACE_HELL                                       : Master's Infernal Mace Head
1038: T6_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Master's Druidic Inscriptions
1039: T6_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Master's Hardened Debole
1040: T6_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Master's Runed Rock
1041: T6_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Master's Bloodforged Blade
1042: T6_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Master's Keeper Spearhead
1043: T7_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Grandmaster's Occult Orb
1044: T7_ARTEFACT_2H_BOW_HELL                                          : Grandmaster's Demonic Arrowheads
1045: T7_ARTEFACT_2H_BOW_KEEPER                                        : Grandmaster's Carved Bone
1046: T7_ARTEFACT_2H_CLEAVER_HELL                                      : Grandmaster's Demonic Blade
1047: T7_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Grandmaster's Reinforced Morgana Pole
1048: T7_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Grandmaster's Alluring Bolts
1049: T7_ARTEFACT_2H_DUALAXE_KEEPER                                    : Grandmaster's Keeper Axeheads
1050: T7_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Grandmaster's Hellish Bolts
1051: T7_ARTEFACT_2H_DUALHAMMER_HELL                                   : Grandmaster's Hellish Hammer Heads
1052: T7_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Grandmaster's Cursed Blades
1053: T7_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Grandmaster's Ghastly Blades
1054: T7_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Grandmaster's Possessed Catalyst
1055: T7_ARTEFACT_2H_FIRESTAFF_HELL                                    : Grandmaster's Burning Orb
1056: T7_ARTEFACT_2H_HALBERD_MORGANA                                   : Grandmaster's Morgana Halberd Head
1057: T7_ARTEFACT_2H_HAMMER_UNDEAD                                     : Grandmaster's Ancient Hammer Head
1058: T7_ARTEFACT_2H_HARPOON_HELL                                      : Grandmaster's Infernal Harpoon Tip
1059: T7_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Grandmaster's Possessed Scroll
1060: T7_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Grandmaster's Infernal Scroll
1061: T7_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Grandmaster's Ghastly Scroll
1062: T7_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Grandmaster's Cursed Frozen Crystal
1063: T7_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Grandmaster's Icicle Orb
1064: T7_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Grandmaster's Unholy Scroll
1065: T7_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Grandmaster's Black Leather
1066: T7_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Grandmaster's Ghastly Arrows
1067: T7_ARTEFACT_2H_MACE_MORGANA                                      : Grandmaster's Imbued Mace Head
1068: T7_ARTEFACT_2H_NATURESTAFF_HELL                                  : Grandmaster's Symbol of Blight
1069: T7_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Grandmaster's Preserved Log
1070: T7_ARTEFACT_2H_RAM_KEEPER                                        : Grandmaster's Engraved Log
1071: T7_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Grandmaster's Lost Crossbow Mechanism
1072: T7_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Grandmaster's Preserved Rocks
1073: T7_ARTEFACT_2H_SKULLORB_HELL                                     : Grandmaster's Cursed Jawbone
1074: T7_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Grandmaster's Cursed Barbs
1075: T7_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Grandmaster's Hellish Sicklehead Pair
1076: T7_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Grandmaster's Lost Arcane Crystal
1077: T7_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Grandmaster's Lost Cursed Crystal
1078: T7_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Grandmaster's Wildfire Orb
1079: T7_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Grandmaster's Hoarfrost Orb
1080: T7_ARTEFACT_MAIN_MACE_HELL                                       : Grandmaster's Infernal Mace Head
1081: T7_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Grandmaster's Druidic Inscriptions
1082: T7_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Grandmaster's Hardened Debole
1083: T7_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Grandmaster's Runed Rock
1084: T7_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Grandmaster's Bloodforged Blade
1085: T7_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Grandmaster's Keeper Spearhead
1086: T8_ARTEFACT_2H_ARCANESTAFF_HELL                                  : Elder's Occult Orb
1087: T8_ARTEFACT_2H_BOW_HELL                                          : Elder's Demonic Arrowheads
1088: T8_ARTEFACT_2H_BOW_KEEPER                                        : Elder's Carved bone
1089: T8_ARTEFACT_2H_CLEAVER_HELL                                      : Elder's Demonic Blade
1090: T8_ARTEFACT_2H_COMBATSTAFF_MORGANA                               : Elder's Reinforced Morgana Pole
1091: T8_ARTEFACT_2H_CROSSBOWLARGE_MORGANA                             : Elder's Alluring Bolts
1092: T8_ARTEFACT_2H_DUALAXE_KEEPER                                    : Elder's Keeper Axeheads
1093: T8_ARTEFACT_2H_DUALCROSSBOW_HELL                                 : Elder's Hellish Bolts
1094: T8_ARTEFACT_2H_DUALHAMMER_HELL                                   : Elder's Hellish Hammer Heads
1095: T8_ARTEFACT_2H_DUALSCIMITAR_UNDEAD                               : Elder's Cursed Blades
1096: T8_ARTEFACT_2H_DUALSICKLE_UNDEAD                                 : Elder's Ghastly Blades
1097: T8_ARTEFACT_2H_ENIGMATICORB_MORGANA                              : Elder's Possessed Catalyst
1098: T8_ARTEFACT_2H_FIRESTAFF_HELL                                    : Elder's Burning Orb
1099: T8_ARTEFACT_2H_HALBERD_MORGANA                                   : Elder's Morgana Halberd Head
1100: T8_ARTEFACT_2H_HAMMER_UNDEAD                                     : Elder's Ancient Hammer Head
1101: T8_ARTEFACT_2H_HARPOON_HELL                                      : Elder's Infernal Harpoon Tip
1102: T8_ARTEFACT_MAIN_HOLYSTAFF_MORGANA                               : Elder's Possessed Scroll
1103: T8_ARTEFACT_2H_HOLYSTAFF_HELL                                    : Elder's Infernal Scroll
1104: T8_ARTEFACT_2H_HOLYSTAFF_UNDEAD                                  : Elder's Ghastly Scroll
1105: T8_ARTEFACT_2H_ICECRYSTAL_UNDEAD                                 : Elder's Cursed Frozen Crystal
1106: T8_ARTEFACT_2H_ICEGAUNTLETS_HELL                                 : Elder's Icicle Orb
1107: T8_ARTEFACT_2H_INFERNOSTAFF_MORGANA                              : Elder's Unholy Scroll
1108: T8_ARTEFACT_2H_IRONGAUNTLETS_HELL                                : Elder's Black Leather
1109: T8_ARTEFACT_2H_LONGBOW_UNDEAD                                    : Elder's Ghastly Arrows
1110: T8_ARTEFACT_2H_MACE_MORGANA                                      : Elder's Imbued Mace Head
1111: T8_ARTEFACT_2H_NATURESTAFF_HELL                                  : Elder's Symbol of Blight
1112: T8_ARTEFACT_2H_NATURESTAFF_KEEPER                                : Elder's Preserved Log
1113: T8_ARTEFACT_2H_RAM_KEEPER                                        : Elder's Engraved Log
1114: T8_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD                          : Elder's Lost Crossbow Mechanism
1115: T8_ARTEFACT_2H_ROCKSTAFF_KEEPER                                  : Elder's Preserved Rocks
1116: T8_ARTEFACT_2H_SKULLORB_HELL                                     : Elder's Cursed Jawbone
1117: T8_ARTEFACT_2H_TRIDENT_UNDEAD                                    : Elder's Cursed Barbs
1118: T8_ARTEFACT_2H_TWINSCYTHE_HELL                                   : Elder's Hellish Sicklehead Pair
1119: T8_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD                              : Elder's Lost Arcane Crystal
1120: T8_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD                              : Elder's Lost Cursed Crystal
1121: T8_ARTEFACT_MAIN_FIRESTAFF_KEEPER                                : Elder's Wildfire Orb
1122: T8_ARTEFACT_MAIN_FROSTSTAFF_KEEPER                               : Elder's Hoarfrost Orb
1123: T8_ARTEFACT_MAIN_MACE_HELL                                       : Elder's Infernal Mace Head
1124: T8_ARTEFACT_MAIN_NATURESTAFF_KEEPER                              : Elder's Druidic Inscriptions
1125: T8_ARTEFACT_MAIN_RAPIER_MORGANA                                  : Elder's Hardened Debole
1126: T8_ARTEFACT_MAIN_ROCKMACE_KEEPER                                 : Elder's Runed Rock
1127: T8_ARTEFACT_MAIN_SCIMITAR_MORGANA                                : Elder's Bloodforged Blade
1128: T8_ARTEFACT_MAIN_SPEAR_KEEPER                                    : Elder's Keeper Spearhead
1129: T4_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Adept's Bloodstained Antiquities
1130: T4_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Adept's Ruined Ancestral Vamplate
1131: T4_ARTEFACT_2H_AXE_AVALON                                        : Adept's Avalonian Battle Memoir
1132: T4_ARTEFACT_2H_CLAYMORE_AVALON                                   : Adept's Remnants of the Old King
1133: T4_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Adept's Timeworn Walking Staff
1134: T4_ARTEFACT_2H_HAMMER_AVALON                                     : Adept's Massive Metallic Hand
1135: T4_ARTEFACT_2H_DUALMACE_AVALON                                   : Adept's Broken Oaths
1136: T4_ARTEFACT_2H_BOW_AVALON                                        : Adept's Immaculately Crafted Riser
1137: T4_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Adept's Humming Avalonian Whirligig
1138: T4_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Adept's Fractured Opaque Orb
1139: T4_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Adept's Glowing Harmonic Ring
1140: T4_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Adept's Chilled Crystaline Shard
1141: T4_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Adept's Hypnotic Harmonic Ring
1142: T4_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Adept's Messianic Curio
1143: T4_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Adept's Uprooted Perennial Sapling
1144: T5_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Expert's Bloodstained Antiquities
1145: T5_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Expert's Ruined Ancestral Vamplate
1146: T5_ARTEFACT_2H_AXE_AVALON                                        : Expert's Avalonian Battle Memoir
1147: T5_ARTEFACT_2H_CLAYMORE_AVALON                                   : Expert's Remnants of the Old King
1148: T5_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Expert's Timeworn Walking Staff
1149: T5_ARTEFACT_2H_HAMMER_AVALON                                     : Expert's Massive Metallic Hand
1150: T5_ARTEFACT_2H_DUALMACE_AVALON                                   : Expert's Broken Oaths
1151: T5_ARTEFACT_2H_BOW_AVALON                                        : Expert's Immaculately Crafted Riser
1152: T5_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Expert's Humming Avalonian Whirligig
1153: T5_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Expert's Fractured Opaque Orb
1154: T5_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Expert's Glowing Harmonic Ring
1155: T5_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Expert's Chilled Crystaline Shard
1156: T5_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Expert's Hypnotic Harmonic Ring
1157: T5_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Expert's Messianic Curio
1158: T5_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Expert's Uprooted Perennial Sapling
1159: T6_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Master's Bloodstained Antiquities
1160: T6_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Master's Ruined Ancestral Vamplate
1161: T6_ARTEFACT_2H_AXE_AVALON                                        : Master's Avalonian Battle Memoir
1162: T6_ARTEFACT_2H_CLAYMORE_AVALON                                   : Master's Remnants of the Old King
1163: T6_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Master's Timeworn Walking Staff
1164: T6_ARTEFACT_2H_HAMMER_AVALON                                     : Master's Massive Metallic Hand
1165: T6_ARTEFACT_2H_DUALMACE_AVALON                                   : Master's Broken Oaths
1166: T6_ARTEFACT_2H_BOW_AVALON                                        : Master's Immaculately Crafted Riser
1167: T6_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Master's Humming Avalonian Whirligig
1168: T6_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Master's Fractured Opaque Orb
1169: T6_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Master's Glowing Harmonic Ring
1170: T6_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Master's Chilled Crystaline Shard
1171: T6_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Master's Hypnotic Harmonic Ring
1172: T6_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Master's Messianic Curio
1173: T6_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Master's Uprooted Perennial Sapling
1174: T7_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Grandmaster's Bloodstained Antiquities
1175: T7_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Grandmaster's Ruined Ancestral Vamplate
1176: T7_ARTEFACT_2H_AXE_AVALON                                        : Grandmaster's Avalonian Battle Memoir
1177: T7_ARTEFACT_2H_CLAYMORE_AVALON                                   : Grandmaster's Remnants of the Old King
1178: T7_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Grandmaster's Timeworn Walking Staff
1179: T7_ARTEFACT_2H_HAMMER_AVALON                                     : Grandmaster's Massive Metallic Hand
1180: T7_ARTEFACT_2H_DUALMACE_AVALON                                   : Grandmaster's Broken Oaths
1181: T7_ARTEFACT_2H_BOW_AVALON                                        : Grandmaster's Immaculately Crafted Riser
1182: T7_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Grandmaster's Humming Avalonian Whirligig
1183: T7_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Grandmaster's Fractured Opaque Orb
